-------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                  | country                | count |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Espagne"              | 1     |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "Germany"              | 3     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Lithuania"            | 1     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Portugal"             | 1     |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "United States"        | 5     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "New Zealand"          | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Croatie"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Canada"               | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Czech Republic"       | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Senegal"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Thailand"             | 7     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Royaume-Uni"          | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Honduras"             | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Australia"            | 2     |
| <http://www.touristlink.com/europe/cat/local-interests.html>                                                       | "Spain"                | 2     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "China"                | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Côte d'Ivoire"        | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Bolivia"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Italie"               | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Vietnam"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Peru"                 | 5     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Sénégal"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Russia"               | 11    |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Latvia"               | 1     |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx>                                         | "Switzerland"          | 1     |
| <http://www.grassrootsfeminism.net/cms/taxonomy/term/120?page=10>                                                  | "Belgium"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Luxembourg"           | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Argentina"            | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Brésil"               | 10    |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Italy"                | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Canada"               | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Colombia"             | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "États-Unis"           | 19    |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Brazil"               | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Egypt"                | 1     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Germany"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Bosnia-Herzegovina"   | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Barbados"             | 2     |
| <http://www.ticketsinventory.com/soccer/paris-saint-germain-fc-tickets/>                                           | "Switzerland"          | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Finland"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Autriche"             | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Spain"                | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Ireland"              | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Pays-Bas"             | 1     |
| <http://www.setlist.fm/setlists/hans-zimmer-73d6b675.html>                                                         | "Ireland"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Japon"                | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "India"                | 27    |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Mexico"               | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Indonésie"            | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Chile"                | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Belgique"             | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Greece"               | 5     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "United Kingdom"       | 1     |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "Singapore"            | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "China"                | 2     |
| <http://www.grassrootsfeminism.net/cms/taxonomy/term/120?page=10>                                                  | "United States"        | 7     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Romania"              | 1     |
